text_id,sentence_count,total_words,target_determiners_count,target_determiners_freq,max_phrase_length,avg_sentence_length,syntactic_complexity,analysis_type,vector_count,first_order_coherence,min_coherence,max_coherence,coherence_variance,second_order_coherence,coherence_change_rate,coherence_stability,temporal_coherence,coherence_trend,local_coherence_variance,phrase_separated_coherence,distant_coherence,coherence_decay_rate,t_statistic,p_value,effect_size,significant,interpretation
plato_republic,7779,216898,6327,0.029170393456832245,20,27.9076170869789,"{'avg_sentence_length': np.float64(27.9076170869789), 'max_sentence_length': 339, 'sentence_length_std': np.float64(22.596091114225125), 'clauses_per_sentence': 4.705352547606793, 'words_per_clause': 5.931036368608149, 'pos_tag_diversity': 37, 'most_common_pos': [('NN', 30199), ('IN', 29844), ('DT', 25617), ('JJ', 14413), ('CC', 13655)]}",enhanced_coherence,7779,0.5963454950878503,-0.25151910271002476,0.995190401200027,0.05940737643366081,0.7817865972166413,0.21821340278335868,0.8040289668935592,0.5963577957793484,-0.35505480288391555,0.024828104871480947,0.589436811918249,0.5825061315197774,0.008327503643372092,107.22207126705075,0.0,1.2157666418714315,True,"{'coherence_level': 'moderately_coherent', 'determiner_usage': 'high', 'syntactic_complexity': 'high', 'coherence_stability': 'highly_stable', 'temporal_pattern': 'strong_trend'}"
aquinas_summa_theologica,23646,491422,14762,0.030039355177423885,20,20.897346487497874,"{'avg_sentence_length': np.float64(20.897346487497874), 'max_sentence_length': 144, 'sentence_length_std': np.float64(14.471282649964374), 'clauses_per_sentence': 3.780277258037081, 'words_per_clause': 5.527993070632305, 'pos_tag_diversity': 37, 'most_common_pos': [('IN', 76921), ('NN', 74991), ('DT', 60796), ('JJ', 32525), ('VBZ', 29450)]}",enhanced_coherence,23646,0.512472746331755,-0.387831186137152,1.0000000000000002,0.0830395849684927,0.7477795026143894,0.25222049738561064,0.7762975260293956,0.5124647886091621,-0.04960872322186754,0.03441646599382178,0.498361038728948,0.48092960344255753,0.014962210002960642,113.37599769437327,0.0,0.7373122723091167,True,"{'coherence_level': 'moderately_coherent', 'determiner_usage': 'high', 'syntactic_complexity': 'high', 'coherence_stability': 'highly_stable', 'temporal_pattern': 'stable'}"
descartes_discourse_method,395,25958,1045,0.04025733877802604,23,68.13123359580052,"{'avg_sentence_length': np.float64(68.13123359580052), 'max_sentence_length': 289, 'sentence_length_std': np.float64(47.67099181009381), 'clauses_per_sentence': 13.15485564304462, 'words_per_clause': 5.179169992019154, 'pos_tag_diversity': 33, 'most_common_pos': [('IN', 4291), ('NN', 3019), ('DT', 2789), ('JJ', 1724), ('PRP', 1721)]}",enhanced_coherence,395,0.7353122478528786,-0.17241954456955322,0.9853929411984347,0.05156470305499589,0.844991503759582,0.15500849624041804,0.8149437025558898,0.7364728099777677,-0.4934421876730668,0.02756137392877805,0.7337557084304496,0.7306677961052702,0.0027959766250792275,38.003264222774014,1.1106937419273837e-133,1.9145767922351458,True,"{'coherence_level': 'highly_coherent', 'determiner_usage': 'high', 'syntactic_complexity': 'high', 'coherence_stability': 'highly_stable', 'temporal_pattern': 'strong_trend'}"
nietzsche_beyond_good_evil,1648,62922,1687,0.026810972314929595,59,38.2040072859745,"{'avg_sentence_length': np.float64(38.2040072859745), 'max_sentence_length': 442, 'sentence_length_std': np.float64(35.23695014421143), 'clauses_per_sentence': 6.343655130540377, 'words_per_clause': 6.02239663093415, 'pos_tag_diversity': 36, 'most_common_pos': [('NN', 9693), ('IN', 8600), ('DT', 6787), ('JJ', 5120), ('RB', 4364)]}",enhanced_coherence,1648,0.6318330826015955,-0.19970744618631148,1.0,0.05348361493985325,0.7944742033888594,0.20552579661114054,0.8121726830278335,0.6316242742376427,-0.06480216503716449,0.021766585506331725,0.6131036482298801,0.5984402979937342,0.012833971378855225,58.213568207178035,0.0,1.4344235958970288,True,"{'coherence_level': 'highly_coherent', 'determiner_usage': 'high', 'syntactic_complexity': 'high', 'coherence_stability': 'highly_stable', 'temporal_pattern': 'stable'}"
aristotle_nicomachean_ethics,2787,115098,3164,0.027489617543310918,21,41.762699564586356,"{'avg_sentence_length': np.float64(41.762699564586356), 'max_sentence_length': 639, 'sentence_length_std': np.float64(31.35671217183955), 'clauses_per_sentence': 7.251088534107402, 'words_per_clause': 5.759507606084868, 'pos_tag_diversity': 36, 'most_common_pos': [('IN', 16986), ('NN', 15043), ('DT', 13163), ('JJ', 8758), ('RB', 7400)]}",enhanced_coherence,2787,0.6627027416562821,-0.2663261426964493,1.0,0.047887686200884884,0.8175522642083846,0.1824477357916155,0.8204572462684748,0.6627664051384069,-0.3197450919591839,0.021625318307373735,0.6466938047442797,0.6353368945664498,0.01045734911535498,87.46846626011676,0.0,1.6571466960571466,True,"{'coherence_level': 'highly_coherent', 'determiner_usage': 'high', 'syntactic_complexity': 'high', 'coherence_stability': 'highly_stable', 'temporal_pattern': 'strong_trend'}"
descartes_meditations,395,25958,1045,0.04025733877802604,23,68.13123359580052,"{'avg_sentence_length': np.float64(68.13123359580052), 'max_sentence_length': 289, 'sentence_length_std': np.float64(47.67099181009381), 'clauses_per_sentence': 13.15485564304462, 'words_per_clause': 5.179169992019154, 'pos_tag_diversity': 33, 'most_common_pos': [('IN', 4291), ('NN', 3019), ('DT', 2789), ('JJ', 1724), ('PRP', 1721)]}",enhanced_coherence,395,0.7353122478528786,-0.17241954456955322,0.9853929411984347,0.05156470305499589,0.844991503759582,0.15500849624041804,0.8149437025558898,0.7364728099777677,-0.4934421876730668,0.02756137392877805,0.7337557084304496,0.7306677961052702,0.0027959766250792275,38.003264222774014,1.1106937419273837e-133,1.9145767922351458,True,"{'coherence_level': 'highly_coherent', 'determiner_usage': 'high', 'syntactic_complexity': 'high', 'coherence_stability': 'highly_stable', 'temporal_pattern': 'strong_trend'}"
plato_apology,655,18971,526,0.027726529966791418,20,29.59594383775351,"{'avg_sentence_length': np.float64(29.59594383775351), 'max_sentence_length': 217, 'sentence_length_std': np.float64(22.11966989672449), 'clauses_per_sentence': 4.814352574102964, 'words_per_clause': 6.147440051847052, 'pos_tag_diversity': 34, 'most_common_pos': [('IN', 2570), ('NN', 2278), ('DT', 1891), ('PRP', 1642), ('CC', 1094)]}",enhanced_coherence,655,0.6444292569044502,-0.17241954456955322,0.9864267212855063,0.05617968636201381,0.7797441207336195,0.2202558792663805,0.808392704606831,0.6447798003241496,-0.24272271196459944,0.018961573384346952,0.6257341777958334,0.6078342904430506,0.012440900850086273,37.13359275385469,4.1397320985779486e-163,1.4520383810191788,True,"{'coherence_level': 'highly_coherent', 'determiner_usage': 'high', 'syntactic_complexity': 'high', 'coherence_stability': 'highly_stable', 'temporal_pattern': 'moderate_trend'}"
james_pragmatism,2590,54511,1452,0.02663682559483407,42,21.194012441679625,"{'avg_sentence_length': np.float64(21.194012441679625), 'max_sentence_length': 130, 'sentence_length_std': np.float64(13.584740487123376), 'clauses_per_sentence': 3.4292379471228616, 'words_per_clause': 6.180385487528345, 'pos_tag_diversity': 37, 'most_common_pos': [('NN', 8095), ('IN', 7490), ('DT', 6007), ('JJ', 4531), ('PRP', 3276)]}",enhanced_coherence,2590,0.5827317875270773,-0.3133958915924207,1.0,0.05460548047658846,0.7738454654409239,0.22615453455907614,0.8105841830269122,0.582690226444844,0.08566446457559868,0.019180881178258644,0.556181646111334,0.5384682037115905,0.018140670478753097,61.55150247293105,0.0,1.2096859410465657,True,"{'coherence_level': 'moderately_coherent', 'determiner_usage': 'high', 'syntactic_complexity': 'high', 'coherence_stability': 'highly_stable', 'temporal_pattern': 'stable'}"
hume_human_understanding,1770,57109,1874,0.03281444255721515,22,32.55929304446978,"{'avg_sentence_length': np.float64(32.55929304446978), 'max_sentence_length': 271, 'sentence_length_std': np.float64(20.733448888376998), 'clauses_per_sentence': 5.571265678449259, 'words_per_clause': 5.844146541137945, 'pos_tag_diversity': 36, 'most_common_pos': [('NN', 9063), ('IN', 8277), ('DT', 7019), ('JJ', 4733), ('CC', 3251)]}",enhanced_coherence,1770,0.6641230561098156,-0.19440757491821622,1.0000000000000002,0.04853098000362182,0.817202440692243,0.18279755930775698,0.819472313771212,0.6644694401520337,-0.26979132824870683,0.021826175069084137,0.6498864807144008,0.6399394423917945,0.008211418997929333,69.49919573583063,0.0,1.652402572354389,True,"{'coherence_level': 'highly_coherent', 'determiner_usage': 'high', 'syntactic_complexity': 'high', 'coherence_stability': 'highly_stable', 'temporal_pattern': 'moderate_trend'}"
kant_critique_pure_reason,5737,207281,6742,0.03252589479981281,13,36.1494593651901,"{'avg_sentence_length': np.float64(36.1494593651901), 'max_sentence_length': 232, 'sentence_length_std': np.float64(21.134821067360857), 'clauses_per_sentence': 7.001046389954657, 'words_per_clause': 5.163436628138701, 'pos_tag_diversity': 35, 'most_common_pos': [('NN', 35970), ('IN', 35037), ('DT', 28499), ('JJ', 16855), ('RB', 12045)]}",enhanced_coherence,5737,0.7189773653301867,-0.11546564734114306,1.0,0.03372423495858299,0.8368736427461461,0.1631263572538539,0.8448503375279857,0.7190938871677809,-0.01000249235697836,0.012901605406245062,0.706428646500837,0.6987631048363585,0.006773448341352368,172.77711555901342,0.0,2.2812960475050237,True,"{'coherence_level': 'highly_coherent', 'determiner_usage': 'high', 'syntactic_complexity': 'high', 'coherence_stability': 'highly_stable', 'temporal_pattern': 'stable'}"
maimonides_guide_perplexed,2261,50249,697,0.01387092280443392,62,23.166897187644075,"{'avg_sentence_length': np.float64(23.166897187644075), 'max_sentence_length': 166, 'sentence_length_std': np.float64(15.547923849045215), 'clauses_per_sentence': 3.472106961733518, 'words_per_clause': 6.672287876775993, 'pos_tag_diversity': 36, 'most_common_pos': [('NN', 9201), ('DT', 6930), ('IN', 6682), ('JJ', 3668), ('NNS', 2903)]}",enhanced_coherence,2261,0.5910635720397824,-0.3636731089009645,1.0000000000000002,0.07062398682880337,0.760560879147527,0.239439120852473,0.7900443421233352,0.591044585765441,-0.04755528496675819,0.02586346785490627,0.5683432695392661,0.5542058982473013,0.014134821089382877,52.05588749107658,0.0,1.0950038231807067,True,"{'coherence_level': 'moderately_coherent', 'determiner_usage': 'moderate', 'syntactic_complexity': 'high', 'coherence_stability': 'highly_stable', 'temporal_pattern': 'stable'}"
